Alabama,56439
Alaska,13119
Arizona,139736
Arkansas,57792
California,966840
Colorado,104212
Connecticut,72990
Delaware,9404
District of Columbia,17203
Florida,355993
Georgia,195944
Hawaii,28240
Idaho,23542
Illinois,293004
Indiana,94330
Iowa,51693
Kansas,57957
Kentucky,56771
Louisiana,58174
Maine,29206
Maryland,106224
Massachusetts,122528
Michigan,178884
Minnesota,85941
Mississippi,30332
Missouri,111681
Montana,14140
Nebraska,28716
Nevada,69553
New Hampshire,25112
New Jersey,427259
New Mexico,28512
New York,335820
North Carolina,162348
North Dakota,12107
Ohio,242998
Oklahoma,56559
Oregon,77872
Pennsylvania,242396
Rhode Island,20557
South Carolina,67374
South Dakota,14521
Tennessee,95026
Texas,806817
Utah,32415
Vermont,15803
Virginia,233529
Washington,150125
West Virginia,28337
Wisconsin,129408
Wyoming,10498
